FLUX  105    73.50        4.078809E+15   5.2314E-42   5.2318E-42   0.99993
FLUX  106    74.50        4.024060E+15   1.5419E-41   1.5421E-41   0.99984
FLUX  107    75.50        3.970762E+15   4.4108E-41   4.4120E-41   0.99973
FLUX  108    76.50        3.918856E+15   1.2266E-40   1.2266E-40   0.99993
FLUX  109    77.50        3.868290E+15   3.3169E-40   3.3178E-40   0.99974
FLUX  110    78.50        3.819013E+15   8.7395E-40   8.7396E-40   0.99998
FLUX  111    79.50        3.770975E+15   2.2398E-39   2.2443E-39   0.99798
FLUX  112    80.50        3.724130E+15   5.6155E-39   5.6242E-39   0.99845
FLUX  113    81.50        3.678436E+15   1.3764E-38   1.3766E-38   0.99987
FLUX  114    82.50        3.633848E+15   3.2940E-38   3.2941E-38   0.99997
FLUX  115    83.50        3.590329E+15   7.7135E-38   7.7136E-38   0.99997
FLUX  116    84.50        3.547840E+15   1.7679E-37   1.7686E-37   0.99959
FLUX  117    85.50        3.506345E+15   3.9661E-37   3.9735E-37   0.99814
FLUX  118    86.50        3.465809E+15   8.7228E-37   8.7536E-37   0.99648
FLUX  119    87.50        3.426200E+15   1.8805E-36   1.8923E-36   0.99375
FLUX  120    88.50        3.387486E+15   3.9879E-36   4.0169E-36   0.99280
FLUX  121    89.50        3.349637E+15   8.3097E-36   8.3779E-36   0.99186
FLUX  122    90.50        3.312624E+15   1.6975E-35   1.7178E-35   0.98817
FLUX  123    91.50        3.276421E+15   1.0486E-29   3.6506E-28   0.02872
FLUX  124    92.50        3.241000E+15   4.5795E-29   6.2895E-28   0.07281
FLUX  125    93.50        3.206337E+15   6.4899E-29   1.0428E-27   0.06223
FLUX  126    94.50        3.172407E+15   1.0914E-28   1.6454E-27   0.06633
FLUX  127    95.50        3.139188E+15   1.4978E-28   2.6547E-27   0.05642
FLUX  128    96.50        3.106658E+15   2.8394E-28   3.3739E-27   0.08416
FLUX  129    97.50        3.074795E+15   2.7270E-28   3.8942E-27   0.07003
FLUX  130    98.50        3.043579E+15   6.9444E-28   7.6628E-27   0.09063
FLUX  131    99.50        3.012990E+15   1.2098E-27   1.0664E-26   0.11345
FLUX  132   100.50        2.983010E+15   1.5655E-27   1.4700E-26   0.10650
FLUX  133   101.50        2.953621E+15   1.8635E-27   1.8577E-26   0.10031
FLUX  134   102.50        2.924805E+15   2.8063E-27   3.3290E-26   0.08430
FLUX  135   103.50        2.896546E+15   7.9711E-27   4.8284E-26   0.16509
FLUX  136   104.50        2.868828E+15   1.2938E-26   7.6896E-26   0.16825
FLUX  137   105.50        2.841635E+15   1.7128E-26   1.2203E-25   0.14035
FLUX  138   106.50        2.814953E+15   4.2806E-26   1.9531E-25   0.21917
FLUX  139   107.50        2.788767E+15   6.2923E-26   3.1551E-25   0.19943
FLUX  140   108.50        2.763064E+15   1.2522E-25   5.1160E-25   0.24477
FLUX  141   109.50        2.737831E+15   1.8577E-25   8.2780E-25   0.22441
FLUX  142   110.50        2.713054E+15   3.0400E-25   1.3275E-24   0.22901
FLUX  143   111.50        2.688722E+15   4.3231E-25   2.1041E-24   0.20546
FLUX  144   112.50        2.664822E+15   9.9518E-25   3.2792E-24   0.30348
FLUX  145   113.50        2.641344E+15   1.7349E-24   5.0134E-24   0.34605
FLUX  146   114.50        2.618275E+15   2.9375E-24   7.5011E-24   0.39161
FLUX  147   115.50        2.595606E+15   4.4041E-24   1.0906E-23   0.40384
FLUX  148   116.50        2.573326E+15   5.8869E-24   1.5271E-23   0.38548
FLUX  149   117.50        2.551426E+15   9.1071E-24   2.0271E-23   0.44926
FLUX  150   118.50        2.529894E+15   1.1786E-23   3.9124E-23   0.30126
FLUX  151   119.50        2.508724E+15   8.7075E-24   5.6041E-23   0.15538
FLUX  152   120.50        2.487905E+15   3.6235E-24   7.9408E-23   0.04563
FLUX  153   121.50        2.467428E+15   4.4804E-25   1.1138E-22   0.00402
FLUX  154   122.50        2.447286E+15   5.6569E-24   1.5488E-22   0.03652
FLUX  155   123.50        2.427470E+15   3.4208E-23   2.1348E-22   0.16024
FLUX  156   124.50        2.407972E+15   8.9809E-23   1.6735E-22   0.53665
FLUX  157   125.50        2.388785E+15   1.5039E-22   2.8762E-22   0.52289
FLUX  158   126.50        2.369901E+15   2.0587E-22   4.3838E-22   0.46962
FLUX  159   127.50        2.351314E+15   3.1938E-22   6.2308E-22   0.51258
FLUX  160   128.50        2.333016E+15   3.6074E-22   8.6774E-22   0.41572
FLUX  161   129.50        2.315000E+15   5.2093E-22   1.1780E-21   0.44221
FLUX  162   130.50        2.297261E+15   6.3933E-22   1.5772E-21   0.40536
FLUX  163   131.50        2.279791E+15   9.1308E-22   2.0799E-21   0.43900
FLUX  164   132.50        2.262585E+15   1.0857E-21   2.7045E-21   0.40143
FLUX  165   133.50        2.245637E+15   1.3012E-21   3.4664E-21   0.37537
FLUX  166   134.50        2.228940E+15   1.7962E-21   4.3844E-21   0.40968
FLUX  167   135.50        2.212491E+15   2.3386E-21   5.4895E-21   0.42602
FLUX  168   136.50        2.196282E+15   2.8047E-21   6.8231E-21   0.41105
FLUX  169   137.50        2.180309E+15   3.1204E-21   8.4049E-21   0.37127
FLUX  170   138.50        2.164567E+15   4.0895E-21   1.0298E-20   0.39713
FLUX  171   139.50        2.149050E+15   4.6939E-21   1.2606E-20   0.37237
FLUX  172   140.50        2.133754E+15   6.5658E-21   1.5466E-20   0.42454
FLUX  173   141.50        2.118675E+15   8.6657E-21   1.9080E-20   0.45417
FLUX  174   142.50        2.103807E+15   9.8449E-21   2.3705E-20   0.41530
FLUX  175   143.50        2.089146E+15   1.4078E-20   2.9621E-20   0.47527
FLUX  176   144.20        2.079005E+15   1.9290E-20   3.4716E-20   0.55564
FLUX  177   144.70        2.071821E+15   1.8273E-20   3.8919E-20   0.46952
FLUX  178   145.50        2.060430E+15   2.1804E-20   4.6773E-20   0.46617
FLUX  179   146.50        2.046365E+15   3.1809E-20   5.8868E-20   0.54035
FLUX  180   147.50        2.032492E+15   3.2701E-20   7.3970E-20   0.44209
FLUX  181   148.50        2.018805E+15   4.5007E-20   9.2689E-20   0.48557
FLUX  182   149.50        2.005301E+15   6.6835E-20   1.1571E-19   0.57762
FLUX  183   150.50        1.991977E+15   9.5064E-20   1.4390E-19   0.66062
FLUX  184   151.20        1.982755E+15   6.3836E-20   1.6718E-19   0.38184
FLUX  185   151.70        1.976220E+15   9.7769E-20   2.0191E-19   0.48422
FLUX  186   152.50        1.965852E+15   1.3997E-19   2.8905E-19   0.48424
FLUX  187   153.50        1.953046E+15   2.0305E-19   3.7590E-19   0.54018
FLUX  188   154.50        1.940405E+15   1.6600E-19   4.5749E-19   0.36284
FLUX  189   155.50        1.927926E+15   2.4441E-19   5.5899E-19   0.43724
